,dices_coefficient,sigma,extended_maxima_h
0,0.1520912547528517,1.0,0.05
1,0.15859030837004406,1.0,0.07500000000000001
2,0.1791044776119403,1.0,0.10000000000000002
3,0.19889502762430938,1.0,0.12500000000000003
4,0.21301775147928995,1.0,0.15000000000000002
5,0.21656050955414013,1.0,0.17500000000000004
6,0.23448275862068965,1.0,0.20000000000000007
7,0.2556390977443609,1.0,0.22500000000000003
8,0.2698412698412698,1.0,0.25000000000000006
9,0.2905982905982906,1.0,0.2750000000000001
10,0.3008849557522124,1.0,0.3000000000000001
11,0.3063063063063063,1.0,0.32500000000000007
12,0.3076923076923077,1.0,0.3500000000000001
13,0.30612244897959184,1.0,0.3750000000000001
14,0.29473684210526313,1.0,0.4000000000000001
15,0.30434782608695654,1.0,0.4250000000000001
16,0.32941176470588235,1.0,0.4500000000000001
17,0.345679012345679,1.0,0.47500000000000014
18,0.358974358974359,1.0,0.5000000000000002
19,0.37333333333333335,1.0,0.5250000000000001
20,0.3783783783783784,1.0,0.5500000000000003
21,0.4,1.0,0.5750000000000002
22,0.42424242424242425,1.0,0.6000000000000002
23,0.45901639344262296,1.0,0.6250000000000002
24,0.4827586206896552,1.0,0.6500000000000002
25,0.49122807017543857,1.0,0.6750000000000003
26,0.4727272727272727,1.0,0.7000000000000003
27,0.5098039215686274,1.0,0.7250000000000003
28,0.5,1.0,0.7500000000000002
29,0.4782608695652174,1.0,0.7750000000000002
30,0.4888888888888889,1.0,0.8000000000000003
31,0.47619047619047616,1.0,0.8250000000000003
32,0.5,1.0,0.8500000000000003
33,0.4,1.0,0.8750000000000003
34,0.16170212765957448,1.0,0.05
35,0.17391304347826086,1.0,0.07500000000000001
36,0.2011173184357542,1.0,0.10000000000000002
37,0.22085889570552147,1.0,0.12500000000000003
38,0.2236842105263158,1.0,0.15000000000000002
39,0.24817518248175183,1.0,0.17500000000000004
40,0.272,1.0,0.20000000000000007
41,0.2857142857142857,1.0,0.22500000000000003
42,0.3008849557522124,1.0,0.25000000000000006
43,0.3148148148148148,1.0,0.2750000000000001
44,0.3106796116504854,1.0,0.3000000000000001
45,0.30612244897959184,1.0,0.32500000000000007
