,X,Y,Slice
227,304.0,519.0,1.0
228,322.0,519.0,1.0
229,69.0,0.0,23.0
230,88.0,0.0,23.0
231,114.0,0.0,23.0
232,130.0,0.0,23.0
233,176.0,0.0,23.0
234,212.0,0.0,23.0
235,230.0,0.0,23.0
236,261.0,0.0,23.0
237,348.0,0.0,23.0
238,399.0,0.0,23.0
239,467.0,0.0,23.0
240,445.0,2.0,23.0
241,189.0,10.0,23.0
242,71.0,15.0,23.0
243,114.0,15.0,23.0
244,218.0,18.0,23.0
245,274.0,19.0,23.0
246,33.0,25.0,23.0
247,107.0,29.0,23.0
248,242.0,29.0,23.0
249,305.0,29.0,23.0
250,147.0,30.0,23.0
251,497.0,34.0,23.0
252,212.0,35.0,23.0
253,109.0,38.0,23.0
254,252.0,38.0,23.0
255,383.0,38.0,23.0
256,429.0,38.0,23.0
257,174.0,39.0,23.0
258,475.0,39.0,23.0
259,311.0,40.0,23.0
260,0.0,41.0,23.0
261,66.0,41.0,23.0
262,4.0,55.0,23.0
263,50.0,56.0,23.0
264,451.0,57.0,23.0
265,390.0,59.0,23.0
266,79.0,60.0,23.0
267,28.0,61.0,23.0
268,218.0,61.0,23.0
269,465.0,61.0,23.0
270,503.0,62.0,23.0
271,63.0,65.0,23.0
272,437.0,71.0,23.0
273,414.0,73.0,23.0
274,500.0,75.0,23.0
275,0.0,76.0,23.0
276,47.0,79.0,23.0
277,519.0,83.0,23.0
278,165.0,86.0,23.0
279,38.0,92.0,23.0
280,81.0,92.0,23.0
281,22.0,94.0,23.0
282,477.0,94.0,23.0
283,49.0,97.0,23.0
284,66.0,98.0,23.0
285,93.0,98.0,23.0
286,134.0,98.0,23.0
287,174.0,100.0,23.0
288,455.0,100.0,23.0
289,186.0,101.0,23.0
290,500.0,101.0,23.0
291,341.0,102.0,23.0
292,416.0,102.0,23.0
293,271.0,104.0,23.0
294,370.0,104.0,23.0
295,227.0,108.0,23.0
296,83.0,114.0,23.0
297,472.0,114.0,23.0
298,301.0,116.0,23.0
299,386.0,116.0,23.0
300,135.0,118.0,23.0
301,191.0,121.0,23.0
302,401.0,121.0,23.0
303,73.0,127.0,23.0
304,516.0,127.0,23.0
305,145.0,128.0,23.0
306,241.0,129.0,23.0
307,357.0,132.0,23.0
308,92.0,133.0,23.0
309,345.0,137.0,23.0
310,81.0,141.0,23.0
311,519.0,143.0,23.0
312,176.0,144.0,23.0
313,195.0,145.0,23.0
314,435.0,147.0,23.0
315,4.0,148.0,23.0
316,58.0,148.0,23.0
317,365.0,148.0,23.0
318,23.0,150.0,23.0
319,391.0,151.0,23.0
320,43.0,153.0,23.0
321,99.0,153.0,23.0
322,423.0,154.0,23.0
323,335.0,155.0,23.0
324,68.0,156.0,23.0
325,173.0,158.0,23.0
326,268.0,158.0,23.0
327,138.0,159.0,23.0
328,519.0,159.0,23.0
329,239.0,161.0,23.0
330,16.0,165.0,23.0
331,47.0,166.0,23.0
332,76.0,166.0,23.0
333,206.0,169.0,23.0
334,319.0,169.0,23.0
335,362.0,169.0,23.0
336,401.0,172.0,23.0
337,517.0,179.0,23.0
338,95.0,182.0,23.0
339,359.0,186.0,23.0
340,43.0,193.0,23.0
341,249.0,194.0,23.0
342,152.0,198.0,23.0
343,418.0,198.0,23.0
344,487.0,199.0,23.0
345,181.0,201.0,23.0
346,280.0,201.0,23.0
347,256.0,202.0,23.0
348,382.0,203.0,23.0
349,230.0,205.0,23.0
350,342.0,206.5,23.0
351,398.0,206.0,23.0
352,463.0,206.0,23.0
353,0.0,207.0,23.0
354,364.0,207.0,23.0
355,212.0,210.0,23.0
356,197.0,213.0,23.0
357,309.0,215.0,23.0
358,181.0,217.0,23.0
359,274.0,217.0,23.0
360,490.0,220.0,23.0
361,431.0,222.0,23.0
362,329.0,223.0,23.0
363,403.0,224.0,23.0
364,360.0,225.0,23.0
365,208.0,226.0,23.0
366,448.0,226.0,23.0
367,235.0,229.0,23.0
368,26.0,232.0,23.0
369,366.0,237.0,23.0
370,343.0,239.0,23.0
371,516.0,243.0,23.0
372,230.0,245.0,23.0
373,257.0,250.0,23.0
374,301.0,254.0,23.0
375,135.0,255.0,23.0
376,16.0,256.0,23.0
377,400.0,256.0,23.0
378,447.0,256.0,23.0
379,380.0,257.0,23.0
380,433.0,260.0,23.0
381,504.0,261.0,23.0
382,340.0,262.0,23.0
383,387.0,270.0,23.0
384,3.0,272.0,23.0
385,445.0,272.0,23.0
386,519.0,275.0,23.0
387,268.0,280.0,23.0
388,454.0,280.0,23.0
389,404.0,282.0,23.0
390,25.0,288.0,23.0
391,0.0,295.0,23.0
392,333.0,296.0,23.0
393,4.0,306.0,23.0
394,333.0,307.0,23.0
395,260.0,308.0,23.0
396,461.0,309.0,23.0
397,402.0,311.0,23.0
398,478.0,312.0,23.0
399,519.0,312.0,23.0
400,345.0,313.0,23.0
401,1.0,316.0,23.0
402,304.0,316.0,23.0
403,327.0,317.0,23.0
404,414.0,318.0,23.0
405,345.0,325.0,23.0
406,397.0,326.0,23.0
407,185.0,327.0,23.0
408,300.0,328.0,23.0
409,449.0,328.0,23.0
410,93.0,329.0,23.0
411,429.0,330.0,23.0
412,15.0,331.0,23.0
413,46.0,331.0,23.0
414,278.0,331.0,23.0
415,320.0,331.0,23.0
416,300.0,340.0,23.0
417,447.0,340.0,23.0
418,519.0,340.0,23.0
419,207.0,342.0,23.0
420,332.0,342.0,23.0
421,432.0,343.0,23.0
422,47.0,345.0,23.0
423,343.0,348.0,23.0
424,113.0,350.0,23.0
425,11.0,354.0,23.0
426,490.0,362.0,23.0
427,0.0,367.0,23.0
428,489.0,383.0,23.0
429,109.0,387.0,23.0
430,134.0,388.0,23.0
431,503.0,390.0,23.0
432,401.0,392.0,23.0
433,299.0,394.0,23.0
434,421.0,399.0,23.0
435,46.0,400.0,23.0
436,177.0,400.0,23.0
437,228.0,401.0,23.0
438,479.0,401.0,23.0
439,121.0,404.0,23.0
440,305.0,405.0,23.0
441,455.0,406.0,23.0
442,314.0,407.0,23.0
443,357.0,409.0,23.0
444,172.0,414.0,23.0
445,411.0,432.0,23.0
446,1.0,434.0,23.0
447,484.0,438.0,23.0
448,269.0,440.0,23.0
449,61.0,441.0,23.0
450,389.0,441.0,23.0
451,134.0,442.0,23.0
452,364.0,444.0,23.0
453,465.0,444.0,23.0
454,0.0,445.0,23.0
455,244.0,445.0,23.0
456,28.0,446.0,23.0
457,172.0,452.0,23.0
458,49.0,453.0,23.0
459,375.0,453.0,23.0
460,144.0,454.0,23.0
461,351.0,456.0,23.0
462,113.0,458.0,23.0
463,331.0,458.0,23.0
464,0.0,459.0,23.0
465,266.0,460.0,23.0
466,400.0,460.0,23.0
467,293.0,461.0,23.0
468,233.0,462.0,23.0
469,462.0,462.0,23.0
470,418.0,465.0,23.0
471,433.0,465.0,23.0
472,519.0,466.0,23.0
473,478.0,468.0,23.0
474,50.0,469.0,23.0
475,140.0,471.0,23.0
476,153.0,471.0,23.0
477,93.0,472.0,23.0
478,176.0,474.0,23.0
479,33.0,476.0,23.0
480,349.0,476.0,23.0
481,412.0,477.0,23.0
482,53.0,481.0,23.0
483,486.0,481.0,23.0
484,377.0,482.0,23.0
485,21.0,484.0,23.0
486,296.0,489.0,23.0
487,355.0,491.0,23.0
488,311.0,492.0,23.0
489,389.0,494.0,23.0
490,488.0,494.0,23.0
491,333.0,495.0,23.0
