,X,Y,Slice
199,177.0,52.0,31.0
200,221.0,53.0,31.0
201,131.0,58.0,31.0
202,372.0,59.0,31.0
203,68.0,60.0,31.0
204,234.0,61.0,31.0
205,353.0,62.0,31.0
206,253.0,63.0,31.0
207,466.0,63.0,31.0
208,8.0,67.0,31.0
209,433.0,67.0,31.0
210,157.0,70.0,31.0
211,302.0,70.0,31.0
212,214.0,72.0,31.0
213,72.0,73.0,31.0
214,491.0,73.0,31.0
215,293.0,78.0,31.0
216,399.0,80.0,31.0
217,257.0,81.0,31.0
218,419.0,82.0,31.0
219,20.0,83.0,31.0
220,84.0,83.0,31.0
221,362.0,83.0,31.0
222,180.0,88.0,31.0
223,231.0,89.0,31.0
224,41.0,93.0,31.0
225,69.0,94.0,31.0
226,457.0,95.0,31.0
227,195.0,96.0,31.0
228,431.0,97.0,31.0
229,157.0,100.0,31.0
230,489.0,101.0,31.0
231,138.0,108.0,31.0
232,313.0,108.0,31.0
233,63.0,112.0,31.0
234,347.0,112.0,31.0
235,371.0,114.0,31.0
236,195.0,117.0,31.0
237,412.0,119.0,31.0
238,462.0,120.0,31.0
239,113.0,122.0,31.0
240,74.0,124.0,31.0
241,277.0,125.0,31.0
242,292.0,125.0,31.0
243,180.0,126.0,31.0
244,381.0,126.0,31.0
245,406.0,129.0,31.0
246,328.0,130.0,31.0
247,126.0,132.0,31.0
248,14.0,133.0,31.0
249,299.0,133.0,31.0
250,479.0,136.0,31.0
251,30.0,140.0,31.0
252,340.0,140.0,31.0
253,363.0,144.0,31.0
254,213.0,145.0,31.0
255,491.0,145.0,31.0
256,7.0,148.0,31.0
257,133.0,149.0,31.0
258,420.0,152.0,31.0
259,335.0,154.0,31.0
260,42.0,155.0,31.0
261,275.0,155.0,31.0
262,288.0,156.0,31.0
263,143.0,158.0,31.0
264,479.0,158.0,31.0
265,198.0,163.0,31.0
266,491.0,163.0,31.0
267,15.0,167.0,31.0
268,216.0,167.0,31.0
269,74.0,168.0,31.0
270,336.0,169.0,31.0
271,473.0,169.0,31.0
272,106.0,171.0,31.0
273,180.0,174.0,31.0
274,428.0,175.0,31.0
275,39.0,176.0,31.0
276,195.0,177.0,31.0
277,386.0,177.0,31.0
278,142.0,183.0,31.0
279,228.0,184.0,31.0
280,479.0,184.0,31.0
281,404.0,187.0,31.0
282,9.0,188.0,31.0
283,180.0,190.0,31.0
284,349.0,190.0,31.0
285,36.0,191.0,31.0
286,279.0,193.0,31.0
287,381.0,197.0,31.0
288,149.0,199.0,31.0
289,320.0,203.0,31.0
290,243.0,205.0,31.0
291,290.0,205.0,31.0
292,13.0,209.0,31.0
293,374.0,210.0,31.0
294,71.0,212.0,31.0
295,478.0,212.0,31.0
296,240.0,219.0,31.0
297,456.0,220.0,31.0
298,102.0,222.0,31.0
299,299.0,225.0,31.0
300,401.0,225.0,31.0
301,174.0,228.0,31.0
302,432.0,229.0,31.0
303,67.0,231.0,31.0
304,150.0,231.0,31.0
305,475.0,231.0,31.0
306,135.0,233.0,31.0
307,489.0,233.0,31.0
308,207.0,236.0,31.0
309,334.0,243.0,31.0
310,177.0,246.0,31.0
311,239.0,246.0,31.0
312,491.0,246.0,31.0
313,120.0,250.0,31.0
314,266.0,250.0,31.0
315,140.0,256.0,31.0
316,463.0,256.0,31.0
317,429.0,260.0,31.0
318,243.0,261.0,31.0
319,28.0,262.0,31.0
320,223.0,262.0,31.0
321,321.0,262.0,31.0
322,335.0,265.0,31.0
323,149.0,267.0,31.0
324,130.0,269.0,31.0
325,481.0,271.0,31.0
326,99.0,273.0,31.0
327,1.0,276.0,31.0
328,384.0,277.0,31.0
329,423.0,277.0,31.0
330,111.0,278.0,31.0
331,144.0,280.0,31.0
332,12.0,281.0,31.0
333,46.0,281.0,31.0
334,210.0,281.0,31.0
335,160.0,283.0,31.0
336,321.0,283.0,31.0
337,303.0,284.0,31.0
338,454.0,284.0,31.0
339,487.0,285.0,31.0
340,365.0,288.0,31.0
341,23.0,289.0,31.0
342,117.0,289.0,31.0
343,97.0,290.0,31.0
344,240.0,291.0,31.0
345,391.0,292.0,31.0
346,467.0,293.0,31.0
347,135.0,295.0,31.0
348,165.0,297.0,31.0
349,149.0,299.0,31.0
350,260.0,301.0,31.0
351,411.0,303.0,31.0
352,119.0,304.0,31.0
353,399.0,304.0,31.0
354,341.0,306.0,31.0
355,449.0,309.0,31.0
