,X,Y,Slice
199,96.0,73.0,28.0
200,114.0,76.0,28.0
201,519.0,76.0,28.0
202,10.0,79.0,28.0
203,211.0,79.0,28.0
204,194.0,82.0,28.0
205,478.0,82.0,28.0
206,61.0,83.0,28.0
207,127.0,83.0,28.0
208,143.0,87.0,28.0
209,238.0,87.0,28.0
210,47.0,91.0,28.0
211,497.0,91.0,28.0
212,482.0,95.0,28.0
213,246.0,97.0,28.0
214,158.0,107.0,28.0
215,375.0,110.0,28.0
216,75.0,125.0,28.0
217,102.0,135.0,28.0
218,483.0,135.0,28.0
219,171.0,141.0,28.0
220,230.0,141.0,28.0
221,403.0,141.0,28.0
222,20.0,142.0,28.0
223,215.0,142.0,28.0
224,366.0,143.0,28.0
225,135.0,144.0,28.0
226,433.0,144.0,28.0
227,84.0,147.0,28.0
228,147.0,147.0,28.0
229,48.0,149.0,28.0
230,62.0,153.0,28.0
231,177.0,153.0,28.0
232,0.0,157.0,28.0
233,21.0,160.0,28.0
234,353.0,161.0,28.0
235,514.0,162.0,28.0
236,41.0,165.0,28.0
237,86.0,167.0,28.0
238,519.0,181.0,28.0
239,0.0,183.0,28.0
240,519.0,200.0,28.0
241,153.0,206.0,28.0
242,519.0,220.0,28.0
243,71.0,231.0,28.0
244,487.0,231.0,28.0
245,519.0,233.0,28.0
246,9.0,235.0,28.0
247,24.0,241.0,28.0
248,499.0,241.0,28.0
249,55.0,242.0,28.0
250,372.0,242.0,28.0
251,118.0,243.0,28.0
252,72.0,244.0,28.0
253,519.0,245.0,28.0
254,470.0,249.0,28.0
255,142.0,250.0,28.0
256,78.0,257.0,28.0
257,0.0,262.0,28.0
258,55.0,264.0,28.0
259,519.0,266.0,28.0
260,497.0,272.0,28.0
261,7.0,275.0,28.0
262,93.0,276.0,28.0
263,302.0,276.0,28.0
264,517.0,279.0,28.0
265,54.0,280.0,28.0
266,69.0,280.0,28.0
267,80.0,289.0,28.0
268,503.0,291.0,28.0
269,26.0,294.0,28.0
270,57.0,297.0,28.0
271,125.0,297.0,28.0
272,514.0,297.0,28.0
273,364.0,299.0,28.0
274,98.0,300.0,28.0
275,154.0,302.0,28.0
276,11.0,306.0,28.0
277,28.0,310.0,28.0
278,45.0,310.0,28.0
279,497.0,318.0,28.0
280,153.0,321.0,28.0
281,360.0,332.0,28.0
282,318.0,333.0,28.0
283,229.0,334.0,28.0
284,480.0,334.0,28.0
285,462.0,335.0,28.0
286,44.0,337.0,28.0
287,106.0,337.0,28.0
288,28.0,343.0,28.0
289,517.0,343.0,28.0
290,217.0,344.0,28.0
291,16.0,345.0,28.0
292,343.0,346.0,28.0
293,474.0,346.0,28.0
294,111.0,347.0,28.0
295,500.0,361.0,28.0
296,486.0,365.0,28.0
297,61.0,372.0,28.0
298,80.0,375.0,28.0
299,485.0,379.0,28.0
300,304.0,386.0,28.0
301,11.0,387.0,28.0
302,141.0,387.0,28.0
303,110.0,392.0,28.0
304,33.0,394.0,28.0
305,498.0,394.0,28.0
306,265.0,396.0,28.0
307,171.0,397.0,28.0
308,63.0,400.0,28.0
309,47.0,401.0,28.0
310,432.0,404.0,28.0
311,519.0,405.0,28.0
312,295.0,413.0,28.0
313,519.0,418.0,28.0
314,352.0,438.0,28.0
315,519.0,438.0,28.0
316,70.0,441.0,28.0
317,328.0,442.0,28.0
318,314.0,445.0,28.0
