FrameNumber, NCC, OriginalFrameNumber, Strip0_NCC, Strip0_XShift, Strip0_YShift, Strip10_NCC, Strip10_XShift, Strip10_YShift, Strip11_NCC, Strip11_XShift, Strip11_YShift, Strip12_NCC, Strip12_XShift, Strip12_YShift, Strip13_NCC, Strip13_XShift, Strip13_YShift, Strip14_NCC, Strip14_XShift, Strip14_YShift, Strip1_NCC, Strip1_XShift, Strip1_YShift, Strip2_NCC, Strip2_XShift, Strip2_YShift, Strip3_NCC, Strip3_XShift, Strip3_YShift, Strip4_NCC, Strip4_XShift, Strip4_YShift, Strip5_NCC, Strip5_XShift, Strip5_YShift, Strip6_NCC, Strip6_XShift, Strip6_YShift, Strip7_NCC, Strip7_XShift, Strip7_YShift, Strip8_NCC, Strip8_XShift, Strip8_YShift, Strip9_NCC, Strip9_XShift, Strip9_YShift, XShift, YShift
1, 0.9849106669425964, 1, 0.9837096333503723, 5.000002376426792, -0.9990932358379041, 0.9780517816543579, -15, 38, 0.9821454882621765, -5.000418893772093, -2.000821833574321, 0.9792839884757996, -4.998552549986385, 0.0009450063241160933, 0.9793781042098999, -6.998288050521367, -3.0000836225660237, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.981072723865509, 5.000614047051428, -6.999091491702636, 0.9805406928062439, 2.9996185708597807, -4.000385718856734, 0.9835448861122131, 2.0001379334252505, -1.9991485234676958, 0.9831984639167786, 1.0015848503393272, 1.9992638000259717, 0.9587359428405762, -12.000848698924088, -3.9997855543697085, 0.9817920923233032, 0.001323758079067261, 1.9987787440682894, 0.9844616651535034, -0.9997289677707499, 2.9989350087582523, 0.9791990518569946, -1.0017285897711616, -1.0024724575557116, 0.9813656210899353, -2.999924488011743, -1.0004397954947422, 63, 68
2, 0.9883535504341125, 2, 0.9826288819313049, 0.9999582875738042, -7.998638150258191, 0.9770298004150391, -12, 36, 0.9787512421607971, -2.9997073555007177, -1.9999416581459855, 0.9799826145172119, 0.0013188953406171322, 5.000944674181085, 0.9837702512741089, 0.0004664810910668393, -0.0005482953741875463, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9839031100273132, 3.0001598235350286, -6.999804937650168, 0.9800715446472168, 4.0006620155337345, -4.999377932508338, 0.9829498529434204, 1.9995278069226856, -1.9993219915887153, 0.9831372499465942, 1.00133520575001, 0.0005306344250755046, 0.9822941422462463, 0.0006085620067750597, 0.0008476472988263595, 0.9771679043769836, 6.536182520733291e-05, 3.9968197644741963, 0.9819332361221313, -0.999474508695755, 3.999491854640752, 0.9768593907356262, 10, 34, 0.9804672002792358, -5.000015111655202, 4.998144421385803, 60, 70
3, 0.9885768890380859, 3, 0.9833475947380066, 5.000835016077531, -0.9994361671866905, 0.9772347211837769, -18, 35, 0.9776789546012878, -7.999583060428051, -5.998513113991976, 0.976581871509552, -7.998099919953631, 3.000773693426197, 0.9824081063270569, -1.0015422251243677, -0.0011403521810393613, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9819725751876831, 5.000116962697987, -4.999214082461513, 0.9801344871520996, 4.000360371157981, -3.9989875460020414, 0.9835860133171082, 1.9997575114379345, -0.9994428795356072, 0.9832717776298523, 1.0018311413644625, 3.0002810911315123, 0.982020914554596, -0.9998101334683298, 1.9998761605205573, 0.9789371490478516, -0.0009867275222461558, 3.9997690626453846, 0.9796874523162842, -1.999301541014077, 1.001649262128808, 0.9769796133041382, 8, 34, 0.9814668893814087, -6.9988875005627165, 1.9992362305222287, 52, 68
4, 0.9887531995773315, 4, 0.9823481440544128, 6.000807278716522, -1.9994896792089634, 0.9786110520362854, -10.000934753119395, 33.00038986872261, 0.98069828748703, -1.0001227095069396, -0.0028545020027763712, 0.9733445048332214, 0.0012954135100073927, 3.9991859099607723, 0.9801955223083496, -1.0013817629450585, -0.0011130020199630053, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9804889559745789, 6.000467203735866, -6.001080712842047, 0.9803436398506165, 4.999593995669088, -5.000752857349312, 0.9825096130371094, 0.0006330354542853911, -0.9996596372851627, 0.9838823676109314, -0.9996906517097557, 0.9996328388646134, 0.9824802279472351, -2.999800454616434, 0.0001513858538828572, 0.9790818095207214, 11.000390640486415, -17.00084297859874, 0.9820079207420349, -1.9987474786833985, 1.001121252568737, 0.9742600917816162, 3, 38, 0.98170405626297, -1.9998257499383953, -0.0008930010416747791, 42, 66
5, 0.9878571629524231, 5, 0.9840835332870483, 4.000000729576811, -4.997888229362317, 0.9792268872261047, -14, 34, 0.9805761575698853, -5.000233920109267, -2.000656540990633, 0.9793487191200256, -3.999334700850568, 6.9994729692259625, 0.9789833426475525, -1.0015845142483215, -0.9993195881347106, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9812538027763367, 4.000248143175014, -7.000567822097032, 0.9808826446533203, -0.9993328199554554, -2.000056685526175, 0.9828969836235046, 1.0000620525227788, -2.9994302295332886, 0.983559787273407, 0.0014909698188745324, 0.9995810127968809, 0.9805478453636169, -0.9995169158955264, 1.0005474266130818, 0.9776493310928345, 0.000862027523425013, 3.999335466247544, 0.9807647466659546, -1.9987434975010387, 4.998510375258462, 0.9731881022453308, 3, 38, 0.9816429018974304, -3.9986538246930934, 2.9983344710561255, 42, 64
6, 0.9883661866188049, 6, 0.9835127592086792, 0.9999836622126566, -1.0003531986465717, 0.9776959419250488, -2.9999658789747485, 3.0021888699582746, 0.9809935688972473, -4.99849810536206, -3.000411881720936, 0.9791898131370544, -3.998781724251728, 0.0002544289825436863, 0.9828015565872192, -3.0001562118102356, -2.0007057974048053, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.983708381652832, 0.9993325779140747, -5.998771212231972, 0.9809616208076477, 0.9989321670310432, -5.000890288372432, 0.9827954769134521, -1.9996885073799433, -0.999573296899726, 0.982387125492096, -0.9988865065369907, 1.001122022757471, 0.9803484678268433, -0.9989644662547903, 0.0010113997595908586, 0.976768434047699, 1.9993835994846023, 3.9972438644325337, 0.9826167225837708, 2.000860883127501, 2.0005568112883623, 0.9732040762901306, 6.001038403668815, 33.00122613952979, 0.9815247058868408, -2.0011902661491945, 3.999022538468239, 41, 68
7, 0.9889127612113953, 7, 0.9850566387176514, 0.0002333979103781303, 1.0010089967268883, 0.9767399430274963, -0.0008060952806374644, 4.001274527051066, 0.9790958166122437, -1.000018615799135, -2.000132784606649, 0.9800797700881958, 0.0013530644759072175, 4.999713314132919, 0.9809144139289856, -0.000973536079456494, 4.9982286015461455, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9827995896339417, 0.0005559578402767329, -3.000015409011553, 0.9799321889877319, -1.0013210950422717, -1.999898090714666, 0.9823480248451233, -2.000423927032756, 0.0008794924756188038, 0.9827861785888672, -0.9992293450035561, 1.9991318079987934, 0.9827293753623962, 0.9996661604606345, 1.999815648387198, 0.9776309132575989, 1.0008391662011746, 2.9992969859420953, 0.9820469617843628, 0.999951897810206, 2.0001448244561573, 0.9771333336830139, 0.9978090367074941, 0.9974071332071048, 0.9817975163459778, -0.9998005529952394, 1.998848038541496, 46, 62
8, 0.9880431294441223, 8, 0.9829978942871094, -2.998700642938175, -12.000096019308288, 0.9769707322120667, -1.0003769349801956, 3.003213610495834, 0.9784605503082275, -0.998466895006672, -2.000872424376496, 0.9797895550727844, 2.999228505644126, 2.000652083744683, 0.9876003861427307, 9.00252037752125e-05, -0.0003277502499940965, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9819123148918152, -1.9992763742142046, -11.998398675653362, 0.9795072674751282, -1.0012907907975972, -8.999258138042734, 0.9837364554405212, -1.0001497802266925, -3.998606262082106, 0.9840390086174011, 0.000958158963115352, 0.00015604458639018048, 0.982405960559845, 0.0005388782013682203, 1.0003711975942622, 0.9785783290863037, 1.999661961528716, 5.998979772348974, 0.9817178249359131, 1.0001344392206164, 4.999547063395227, 0.9750573039054871, -0.0017676659240208892, 1.9992869292919977, 0.9819260239601135, -2.0006372316723855, 3.9984950342865204, 59, 77
9, 0.9844221472740173, 9, 0.9827522039413452, 1.9999150496663702, -8.00067049942902, 0.9777863025665283, -11, 37, 0.9798364639282227, -0.0005778410667574008, 3.9970921453968344, 0.9801061749458313, 3.9993981175227447, 4.00065047378439, 0.9926043152809143, -0.0004806473150296142, -0.0017256599115285098, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9802834987640381, 1.0000319930477986, -10.999043330195235, 0.9787781834602356, -0.9993700195612973, -7.000526273207441, 0.9834766983985901, -0.9996116612757788, -4.9985008492868985, 0.9836721420288086, -0.998055540012146, -1.0000816840326934, 0.9654702544212341, 0.9995632895219586, 9.998367948172103, 0.9783997535705566, -0.999028658773895, 2.9995779418956943, 0.9824504256248474, -0.9986491944603983, 4.0000751010366855, 0.9715441465377808, -4, 38, 0.9791375398635864, -1.9996817090196686, 4.999017880625331, 70, 85
10, 0.9871075749397278, 10, 0.9828166961669922, -3.9991077985857544, 0.001028803079265117, 0.9789537191390991, -8.999575904484217, 9.002891231526974, 0.9745702743530273, -9.000355893664818, 7.99819583707756, 0.9820873737335205, -8.000499353512993, 7.998987007387655, 0.9862343668937683, -0.0010934067967838246, -0.0014445819710431351, 0.9957256317138672, -0.0004067643298810708, -0.0016580878540253252, 0.9825102686882019, -2.999432535322285, -5.999209772439009, 0.9793589115142822, -1.0012371811105822, -3.000142370143564, 0.9831946492195129, 0.00039747451305061077, -1.000306015661664, 0.9820273518562317, 1.0014593357017532, 1.0002195994831595, 0.9807152152061462, -0.00019927105674355516, 2.9992185164568355, 0.9805265069007874, -0.9998742540539496, 5.000281320830993, 0.9804513454437256, 1.9992179964489623, 2.000900924254722, 0.9738394021987915, -2, 38, 0.9809608459472656, -7.999511160410606, 8.99825106381428, 81, 77
